date,season,tm_home,tm_away,pts_home,pts_away,prob_home
2005-11-30,2005,CLE,LAC,112,105,0.774868986910441
2005-11-30,2005,DEN,NOP,95,102,0.774868986910441
2005-11-30,2005,GSW,SAC,113,106,0.6730461707697165
2005-11-30,2005,NYK,CHI,109,101,0.5293662562052738
2005-11-30,2005,OKC,CHO,104,94,0.7305317733738104
2005-11-30,2005,PHO,IND,109,91,0.5616080589497249
2005-11-30,2005,TOR,MEM,66,92,0.34414055424741896
2005-11-30,2005,WAS,POR,96,89,0.8490646342280425
2005-12-01,2005,DAL,SAS,90,92,0.45685279187817257
2005-12-01,2005,UTA,LAL,101,105,0.5616080589497249
2005-12-02,2005,ATL,TOR,101,102,0.5990800596718051
2005-12-02,2005,BOS,CHI,102,106,0.5616080589497249
2005-12-02,2005,DET,NYK,106,98,0.8771811577922564
2005-12-02,2005,GSW,CHO,107,100,0.789141393542914
2005-12-02,2005,LAL,MIN,108,113,0.4179498460184778
2005-12-02,2005,MEM,ORL,91,69,0.8079445696411153
2005-12-02,2005,NOP,PHI,88,86,0.397796817625459
2005-12-02,2005,OKC,CLE,115,108,0.4179498460184778
2005-12-02,2005,PHO,DEN,102,97,0.7184684684684686
2005-12-02,2005,POR,IND,78,98,0.26698229308872284
2005-12-02,2005,SAC,MIA,87,98,0.6185623601278026
2005-12-02,2005,WAS,MIL,102,105,0.7184684684684686
2005-12-03,2005,BRK,TOR,82,95,0.8351245428894727
2005-12-03,2005,CHI,DET,79,92,0.36327734389833294
2005-12-03,2005,DAL,NOP,97,88,0.8351245428894727
2005-12-03,2005,DEN,MIA,101,99,0.6185623601278026
2005-12-03,2005,HOU,MEM,75,90,0.6185623601278026
2005-12-03,2005,LAC,CLE,102,90,0.6349897540983607
2005-12-03,2005,MIL,ORL,104,84,0.774868986910441
2005-12-03,2005,SAS,PHI,100,91,0.8230347431471681
2005-12-04,2005,LAL,CHO,99,98,0.6730461707697165
2005-12-04,2005,NYK,BOS,99,102,0.5990800596718051
2005-12-04,2005,OKC,IND,107,102,0.397796817625459
2005-12-04,2005,PHO,ATL,112,94,0.8917399051220558
2005-12-04,2005,POR,UTA,93,98,0.5240193918025562
2005-12-04,2005,SAC,MIN,77,85,0.6185623601278026
2005-12-05,2005,CHI,DAL,94,102,0.45685279187817257
2005-12-05,2005,LAC,MIA,99,89,0.6730461707697165
2005-12-05,2005,ORL,SAS,85,110,0.16867469879518074
2005-12-05,2005,UTA,MIN,77,91,0.43762053107847504
2005-12-06,2005,DEN,ATL,125,116,0.901453632898506
2005-12-06,2005,HOU,BOS,91,73,0.7184684684684686
2005-12-06,2005,IND,DAL,75,84,0.6932487904343705
2005-12-06,2005,MEM,NOP,89,73,0.789141393542914
2005-12-06,2005,MIL,LAL,92,111,0.6554939057667819
2005-12-06,2005,OKC,NYK,101,104,0.6730461707697165
2005-12-06,2005,PHO,POR,130,85,0.9208907674872173
2005-12-06,2005,SAC,CLE,97,102,0.4759806081974437
2005-12-06,2005,WAS,TOR,119,111,0.7505221629148294
2005-12-07,2005,CHO,BRK,84,97,0.5116279069767442
2005-12-07,2005,GSW,PHO,110,118,0.6185623601278026
2005-12-07,2005,LAC,NYK,84,79,0.789141393542914
2005-12-07,2005,NOP,BOS,87,101,0.5697382574399427
2005-12-07,2005,ORL,CHI,93,102,0.5697382574399427
2005-12-07,2005,PHI,MIL,85,88,0.6932487904343705
2005-12-07,2005,POR,MIN,74,84,0.26698229308872284
2005-12-07,2005,SAS,MIA,98,84,0.8079445696411153
2005-12-07,2005,TOR,LAL,91,102,0.4179498460184778
2005-12-07,2005,UTA,ATL,95,83,0.8079445696411153
2005-12-08,2005,IND,WAS,111,87,0.6554939057667819
2005-12-08,2005,SAC,HOU,95,106,0.5616080589497249
2005-12-09,2005,CHI,LAL,80,93,0.5240193918025562
2005-12-09,2005,CLE,BRK,100,109,0.7505221629148294
2005-12-09,2005,GSW,DET,103,106,0.36327734389833294
2005-12-09,2005,MEM,DAL,83,90,0.5697382574399427
2005-12-09,2005,MIA,DEN,92,100,0.7184684684684686
2005-12-09,2005,PHI,CHO,119,115,0.774868986910441
2005-12-09,2005,PHO,NYK,85,81,0.8351245428894727
2005-12-09,2005,POR,NOP,98,95,0.43762053107847504
2005-12-09,2005,SAS,BOS,101,89,0.8771811577922564
2005-12-09,2005,UTA,OKC,90,106,0.513948077676165
2005-12-10,2005,ATL,SAS,94,84,0.17394315109147268
2005-12-10,2005,BRK,PHI,95,107,0.6554939057667819
2005-12-10,2005,CHO,TOR,103,111,0.6185623601278026
2005-12-10,2005,DAL,BOS,103,94,0.8079445696411153
2005-12-10,2005,IND,MEM,80,66,0.5697382574399427
2005-12-10,2005,LAC,PHO,101,91,0.6185623601278026
2005-12-10,2005,MIL,CLE,111,106,0.5162468054034319
2005-12-10,2005,MIN,LAL,95,82,0.7305317733738104
2005-12-10,2005,OKC,SAC,104,123,0.5990800596718051
2005-12-10,2005,ORL,DEN,94,83,0.48837209302325585
2005-12-10,2005,WAS,CHI,111,118,0.7184684684684686
2005-12-11,2005,LAC,DET,101,109,0.3795145550087581
2005-12-11,2005,MIA,WAS,104,101,0.8079445696411153
2005-12-11,2005,POR,HOU,86,100,0.26698229308872284
2005-12-11,2005,SAC,NOP,110,100,0.7305317733738104
2005-12-12,2005,DAL,LAL,106,109,0.7505221629148294
2005-12-12,2005,NYK,MIL,92,112,0.5616080589497249
2005-12-12,2005,PHI,MIN,90,89,0.5240193918025562
2005-12-12,2005,PHO,NOP,87,91,0.8917399051220558
2005-12-12,2005,UTA,DET,92,78,0.26698229308872284
2005-12-13,2005,CHO,DEN,85,101,0.43762053107847504
2005-12-13,2005,CHI,MIA,97,100,0.397796817625459
2005-12-13,2005,CLE,ATL,94,100,0.8771811577922564
2005-12-13,2005,MIN,SAC,91,93,0.6185623601278026
2005-12-13,2005,OKC,GSW,107,110,0.5240193918025562
2005-12-13,2005,SAS,LAC,95,87,0.7305317733738104
2005-12-13,2005,WAS,BRK,94,74,0.45685279187817257
2005-12-14,2005,BOS,IND,85,71,0.45685279187817257
2005-12-14,2005,BRK,CHO,83,91,0.789141393542914
2005-12-14,2005,DAL,PHO,102,96,0.6185623601278026
2005-12-14,2005,DET,SAC,109,98,0.8490646342280425
2005-12-14,2005,GSW,HOU,105,111,0.48147562105834224
2005-12-14,2005,MEM,LAL,79,94,0.7184684684684686
2005-12-14,2005,MIL,MIA,83,100,0.4759806081974437
2005-12-14,2005,NOP,LAC,102,89,0.4759806081974437
2005-12-14,2005,NYK,ORL,90,105,0.6185623601278026
2005-12-14,2005,PHI,ATL,106,101,0.8490646342280425
2005-12-14,2005,TOR,CHI,94,105,0.45685279187817257
2005-12-14,2005,UTA,POR,82,77,0.7305317733738104
2005-12-15,2005,CLE,DEN,94,85,0.6932487904343705
2005-12-15,2005,MIN,SAS,88,90,0.43762053107847504
2005-12-15,2005,OKC,HOU,98,104,0.5990800596718051
2005-12-16,2005,ATL,NYK,122,111,0.45569620253164556
2005-12-16,2005,BOS,MIL,96,100,0.5697382574399427
2005-12-16,2005,BRK,DEN,115,106,0.6554939057667819
2005-12-16,2005,DAL,ORL,109,103,0.7505221629148294
2005-12-16,2005,DET,CHI,110,82,0.789141393542914
2005-12-16,2005,IND,UTA,93,83,0.6932487904343705
2005-12-16,2005,LAL,WAS,97,91,0.6730461707697165
2005-12-16,2005,NOP,PHO,88,101,0.34414055424741896
2005-12-16,2005,PHI,MIA,105,112,0.43762053107847504
2005-12-16,2005,POR,OKC,99,111,0.3795145550087581
2005-12-16,2005,TOR,GSW,98,108,0.3795145550087581
2005-12-17,2005,CHO,DET,78,103,0.26698229308872284
2005-12-17,2005,CHI,BOS,118,86,0.6349897540983607
2005-12-17,2005,CLE,MIA,115,107,0.5293662562052738
2005-12-17,2005,LAC,HOU,89,81,0.5697382574399427
2005-12-17,2005,MEM,PHO,91,87,0.6185623601278026
2005-12-17,2005,MIL,UTA,80,88,0.6554939057667819
2005-12-17,2005,NYK,IND,96,102,0.45685279187817257
2005-12-17,2005,SAS,SAC,90,89,0.789141393542914
2005-12-18,2005,ATL,DEN,110,107,0.45685279187817257
2005-12-18,2005,BRK,GSW,118,90,0.5293662562052738
2005-12-18,2005,DAL,MIN,102,95,0.6349897540983607
2005-12-18,2005,LAL,HOU,74,76,0.6932487904343705
2005-12-18,2005,NOP,SAS,89,76,0.2897350993377483
2005-12-18,2005,POR,WAS,97,92,0.32150863255594453
2005-12-18,2005,TOR,PHI,80,107,0.3795145550087581
2005-12-19,2005,BOS,GSW,109,98,0.48147562105834224
2005-12-19,2005,CHO,SAC,106,103,0.43762053107847504
2005-12-19,2005,MEM,DET,104,106,0.3795145550087581
2005-12-19,2005,OKC,WAS,111,101,0.6554939057667819
2005-12-19,2005,ORL,TOR,90,92,0.774868986910441
2005-12-20,2005,BRK,LAC,99,85,0.5697382574399427
2005-12-20,2005,CHI,CHO,92,105,0.8670618880804816
2005-12-20,2005,CLE,UTA,110,85,0.8230347431471681
2005-12-20,2005,DET,POR,93,89,0.9086689785292984
2005-12-20,2005,LAL,DAL,112,90,0.4179498460184778
